Timestamp,Employee_ID,Building,Door,Badge_Type,Access_Result,Camera,Reader_ID
2026-07-03 06:51:00,EMP_049,Building_C,Finance Office,HID SEOS,Failed,CAM-11,RD-12
2026-07-03 15:24:00,EMP_029,Building_A,SOC,HID SEOS,Success,CAM-02,RD-11
2026-07-03 07:51:00,EMP_002,Building_C,SOC,HID SEOS,Success,CAM-02,RD-02
2026-07-03 01:04:00,EMP_015,Building_B,Reception,HID SEOS,Success,CAM-05,RD-16
2026-07-03 19:29:00,EMP_014,Building_C,Emergency Exit,HID SEOS,Success,CAM-13,RD-16
2026-07-03 03:13:00,SOC_ANALYST,Building_A,Loading Dock,HID SEOS,Success,CAM-07,RD-14
2026-07-03 01:50:00,EMP_030,Building_C,Reception,HID SEOS,Success,CAM-07,RD-11
2026-07-03 08:29:00,SOC_ANALYST,Building_A,SOC,HID SEOS,Failed,CAM-03,RD-14
2026-07-03 08:31:00,EMP_012,Building_A,Emergency Exit,HID SEOS,Success,CAM-01,RD-18
2026-07-03 03:11:00,BACKUP_ADMIN,Building_A,Server Room,HID SEOS,Failed,CAM-08,RD-16
2026-07-03 02:00:00,EMP_014,Building_A,Loading Dock,HID SEOS,Success,CAM-07,RD-09
2026-07-03 09:44:00,NETWORK_ADMIN,Building_B,Emergency Exit,HID SEOS,Success,CAM-04,RD-10
2026-07-03 19:46:00,EMP_014,Building_C,Main Entrance,HID SEOS,Success,CAM-01,RD-02
2026-07-03 18:07:00,EMP_038,Building_A,Main Entrance,HID SEOS,Success,CAM-14,RD-06
2026-07-03 23:02:00,EMP_005,Building_A,Loading Dock,HID SEOS,Success,CAM-15,RD-19
2026-07-03 01:21:00,EMP_016,Building_C,Reception,HID SEOS,Failed,CAM-11,RD-19
2026-07-03 08:54:00,EMP_037,Building_A,HR Office,HID SEOS,Success,CAM-05,RD-13
2026-07-03 10:14:00,EMP_009,Building_B,HR Office,HID SEOS,Success,CAM-01,RD-15
2026-07-03 03:24:00,EMP_040,Building_A,SOC,HID SEOS,Success,CAM-03,RD-12
2026-07-03 12:36:00,EMP_005,Building_B,Server Room,HID SEOS,Failed,CAM-14,RD-18
2026-07-03 22:19:00,EMP_046,Building_C,Main Entrance,HID SEOS,Success,CAM-15,RD-04
2026-07-03 03:39:00,EMP_009,Building_C,Server Room,HID SEOS,Success,CAM-05,RD-20
2026-07-03 06:56:00,EMP_014,Building_C,Finance Office,HID SEOS,Failed,CAM-05,RD-02
2026-07-03 09:26:00,EMP_006,Building_A,Main Entrance,HID SEOS,Success,CAM-13,RD-05
2026-07-03 05:30:00,EMP_041,Building_C,Emergency Exit,HID SEOS,Failed,CAM-09,RD-01
2026-07-03 23:35:00,EMP_008,Building_A,Main Entrance,HID SEOS,Success,CAM-10,RD-18
2026-07-03 01:25:00,EMP_010,Building_B,HR Office,HID SEOS,Success,CAM-15,RD-12
2026-07-03 22:45:00,EMP_014,Building_A,HR Office,HID SEOS,Failed,CAM-10,RD-05
2026-07-03 06:02:00,EMP_016,Building_B,Main Entrance,HID SEOS,Success,CAM-12,RD-11
2026-07-03 22:51:00,NETWORK_ADMIN,Building_C,SOC,HID SEOS,Success,CAM-03,RD-04
2026-07-03 16:03:00,EMP_025,Building_A,SOC,HID SEOS,Failed,CAM-06,RD-10
2026-07-03 07:46:00,SERVICE_SQL,Building_A,Main Entrance,HID SEOS,Success,CAM-07,RD-11
2026-07-03 09:31:00,EMP_018,Building_B,Loading Dock,HID SEOS,Success,CAM-01,RD-04
2026-07-03 09:03:00,EMP_017,Building_A,Reception,HID SEOS,Failed,CAM-06,RD-11
2026-07-03 17:27:00,EMP_028,Building_A,Loading Dock,HID SEOS,Success,CAM-05,RD-02
2026-07-03 17:44:00,EMP_046,Building_C,SOC,HID SEOS,Success,CAM-07,RD-03
2026-07-03 21:16:00,EMP_043,Building_B,Reception,HID SEOS,Success,CAM-09,RD-10
2026-07-03 13:44:00,EMP_043,Building_C,Finance Office,HID SEOS,Success,CAM-04,RD-14
2026-07-03 23:07:00,EMP_043,Building_C,Server Room,HID SEOS,Success,CAM-07,RD-18
2026-07-03 09:47:00,ATTACKER_9999,Building_A,Loading Dock,Cloned Badge,Success,CAM-08,RD-15
2026-07-03 17:26:00,EMP_029,Building_B,Server Room,HID SEOS,Success,CAM-05,RD-17
2026-07-03 11:26:00,EMP_043,Building_A,SOC,HID SEOS,Success,CAM-04,RD-07
2026-07-03 08:21:00,EMP_010,Building_B,Reception,HID SEOS,Failed,CAM-07,RD-19
2026-07-03 13:06:00,EMP_013,Building_B,Loading Dock,HID SEOS,Success,CAM-03,RD-01
2026-07-03 03:38:00,EMP_049,Building_B,SOC,HID SEOS,Success,CAM-13,RD-17
2026-07-03 08:30:00,EMP_030,Building_A,Emergency Exit,HID SEOS,Success,CAM-13,RD-15
2026-07-03 19:04:00,EMP_043,Building_C,HR Office,HID SEOS,Failed,CAM-10,RD-17
2026-07-03 18:42:00,EMP_028,Building_B,Server Room,HID SEOS,Failed,CAM-08,RD-09
2026-07-03 21:45:00,EMP_049,Building_B,Emergency Exit,HID SEOS,Success,CAM-05,RD-15
2026-07-03 08:00:00,EMP_005,Building_B,HR Office,HID SEOS,Success,CAM-15,RD-18
2026-07-03 07:53:00,EMP_006,Building_B,Server Room,HID SEOS,Success,CAM-02,RD-14
2026-07-03 15:54:00,EMP_027,Building_B,Main Entrance,HID SEOS,Success,CAM-14,RD-14
2026-07-03 19:56:00,EMP_025,Building_C,Main Entrance,HID SEOS,Failed,CAM-08,RD-01
2026-07-03 13:18:00,EMP_023,Building_B,SOC,HID SEOS,Failed,CAM-04,RD-09
2026-07-03 13:16:00,EMP_028,Building_B,Loading Dock,HID SEOS,Success,CAM-14,RD-15
2026-07-03 18:13:00,EMP_009,Building_A,Loading Dock,HID SEOS,Success,CAM-02,RD-14
2026-07-03 06:12:00,EMP_009,Building_A,Finance Office,HID SEOS,Failed,CAM-06,RD-07
2026-07-03 12:56:00,EMP_030,Building_B,Loading Dock,HID SEOS,Success,CAM-14,RD-03
2026-07-03 18:24:00,EMP_031,Building_A,HR Office,HID SEOS,Success,CAM-11,RD-03
2026-07-03 01:22:00,EMP_050,Building_A,SOC,HID SEOS,Success,CAM-14,RD-01
2026-07-03 04:18:00,EMP_040,Building_B,Reception,HID SEOS,Success,CAM-08,RD-09
2026-07-03 20:40:00,EMP_050,Building_C,Reception,HID SEOS,Success,CAM-05,RD-04
2026-07-03 10:38:00,EMP_038,Building_C,Loading Dock,HID SEOS,Failed,CAM-12,RD-07
2026-07-03 21:24:00,EMP_005,Building_A,Reception,HID SEOS,Success,CAM-14,RD-20
2026-07-03 19:19:00,SOC_ANALYST,Building_A,HR Office,HID SEOS,Failed,CAM-11,RD-12
2026-07-03 11:38:00,EMP_005,Building_A,Loading Dock,HID SEOS,Failed,CAM-02,RD-14
2026-07-03 15:41:00,EMP_024,Building_C,Server Room,HID SEOS,Failed,CAM-03,RD-17
2026-07-03 18:22:00,EMP_042,Building_B,Emergency Exit,HID SEOS,Failed,CAM-14,RD-19
2026-07-03 08:22:00,EMP_018,Building_A,Finance Office,HID SEOS,Failed,CAM-04,RD-15
2026-07-03 12:56:00,EMP_037,Building_B,Main Entrance,HID SEOS,Failed,CAM-14,RD-11
2026-07-03 12:06:00,EMP_012,Building_B,HR Office,HID SEOS,Success,CAM-15,RD-20
2026-07-03 18:58:00,EMP_045,Building_A,SOC,HID SEOS,Success,CAM-04,RD-14
2026-07-03 08:12:00,EMP_032,Building_C,Emergency Exit,HID SEOS,Failed,CAM-08,RD-01
2026-07-03 13:48:00,EMP_006,Building_C,SOC,HID SEOS,Success,CAM-11,RD-19
2026-07-03 18:07:00,EMP_024,Building_B,Loading Dock,HID SEOS,Success,CAM-06,RD-15
2026-07-03 07:52:00,EMP_018,Building_A,SOC,HID SEOS,Success,CAM-02,RD-18
2026-07-03 06:32:00,EMP_049,Building_A,Emergency Exit,HID SEOS,Success,CAM-12,RD-19
2026-07-03 09:39:00,EMP_049,Building_A,SOC,HID SEOS,Success,CAM-04,RD-12
2026-07-03 18:13:00,EMP_012,Building_A,Finance Office,HID SEOS,Success,CAM-01,RD-18
2026-07-03 04:18:00,EMP_019,Building_C,Emergency Exit,HID SEOS,Success,CAM-14,RD-01
2026-07-03 16:20:00,EMP_037,Building_B,HR Office,HID SEOS,Success,CAM-01,RD-09
2026-07-03 02:13:00,EMP_031,Building_B,Emergency Exit,HID SEOS,Success,CAM-10,RD-02
2026-07-03 19:12:00,EMP_010,Building_B,Reception,HID SEOS,Success,CAM-02,RD-18
2026-07-03 20:20:00,EMP_049,Building_C,SOC,HID SEOS,Failed,CAM-08,RD-15
2026-07-03 14:38:00,EMP_020,Building_B,Main Entrance,HID SEOS,Success,CAM-13,RD-07
2026-07-03 22:32:00,EMP_041,Building_A,Server Room,HID SEOS,Success,CAM-03,RD-18
2026-07-03 13:56:00,EMP_005,Building_B,Emergency Exit,HID SEOS,Success,CAM-01,RD-08
2026-07-03 23:59:00,EMP_019,Building_B,Reception,HID SEOS,Success,CAM-15,RD-09
2026-07-03 20:07:00,NETWORK_ADMIN,Building_C,SOC,HID SEOS,Failed,CAM-02,RD-18
2026-07-03 09:04:00,EMP_015,Building_A,Reception,HID SEOS,Success,CAM-03,RD-10
2026-07-03 19:25:00,EMP_039,Building_B,Emergency Exit,HID SEOS,Success,CAM-08,RD-10
2026-07-03 09:17:00,EMP_045,Building_C,Emergency Exit,HID SEOS,Failed,CAM-02,RD-20
2026-07-03 11:00:00,EMP_003,Building_C,Finance Office,HID SEOS,Success,CAM-02,RD-08
2026-07-03 19:38:00,EMP_044,Building_C,Main Entrance,HID SEOS,Success,CAM-10,RD-02
2026-07-03 16:03:00,EMP_049,Building_C,Emergency Exit,HID SEOS,Success,CAM-03,RD-19
2026-07-03 16:47:00,EMP_028,Building_A,Emergency Exit,HID SEOS,Success,CAM-07,RD-11
2026-07-03 05:29:00,EMP_021,Building_B,Loading Dock,HID SEOS,Failed,CAM-05,RD-13
2026-07-03 01:15:00,SERVICE_SQL,Building_B,Reception,HID SEOS,Success,CAM-05,RD-11
2026-07-03 13:47:00,EMP_008,Building_C,Main Entrance,HID SEOS,Failed,CAM-07,RD-02
2026-07-03 21:15:00,EMP_013,Building_B,Emergency Exit,HID SEOS,Success,CAM-04,RD-09
2026-07-03 09:49:00,EMP_036,Building_B,Emergency Exit,HID SEOS,Success,CAM-01,RD-20
2026-07-03 05:24:00,SOC_ANALYST,Building_B,Main Entrance,HID SEOS,Failed,CAM-02,RD-08
2026-07-03 15:45:00,BACKUP_ADMIN,Building_A,Server Room,HID SEOS,Failed,CAM-15,RD-10
2026-07-03 14:10:00,EMP_033,Building_B,Emergency Exit,HID SEOS,Success,CAM-08,RD-18
2026-07-03 20:27:00,EMP_010,Building_C,Server Room,HID SEOS,Success,CAM-05,RD-14
2026-07-03 17:19:00,EMP_022,Building_B,Main Entrance,HID SEOS,Success,CAM-12,RD-10
2026-07-03 22:31:00,BACKUP_ADMIN,Building_B,Server Room,HID SEOS,Failed,CAM-09,RD-16
2026-07-03 18:32:00,EMP_023,Building_B,Emergency Exit,HID SEOS,Success,CAM-14,RD-07
2026-07-03 13:04:00,EMP_045,Building_A,Loading Dock,HID SEOS,Success,CAM-06,RD-16
2026-07-03 13:00:00,EMP_046,Building_B,Server Room,HID SEOS,Failed,CAM-01,RD-05
2026-07-03 11:19:00,EMP_033,Building_A,Emergency Exit,HID SEOS,Success,CAM-09,RD-15
2026-07-03 13:59:00,EMP_001,Building_C,Server Room,HID SEOS,Success,CAM-08,RD-09
2026-07-03 13:34:00,EMP_022,Building_C,Reception,HID SEOS,Success,CAM-14,RD-18
2026-07-03 21:23:00,EMP_025,Building_C,Emergency Exit,HID SEOS,Success,CAM-10,RD-03
2026-07-03 09:48:00,EMP_016,Building_A,Reception,HID SEOS,Failed,CAM-02,RD-04
2026-07-03 10:13:00,EMP_029,Building_A,Main Entrance,HID SEOS,Success,CAM-13,RD-02
2026-07-03 14:42:00,EMP_019,Building_A,SOC,HID SEOS,Failed,CAM-10,RD-06
2026-07-03 20:48:00,EMP_011,Building_B,SOC,HID SEOS,Failed,CAM-15,RD-19
2026-07-03 21:46:00,EMP_010,Building_B,Emergency Exit,HID SEOS,Success,CAM-11,RD-01
2026-07-03 09:49:00,SOC_ANALYST,Building_C,Server Room,HID SEOS,Success,CAM-08,RD-12
2026-07-03 14:28:00,EMP_038,Building_C,Finance Office,HID SEOS,Failed,CAM-14,RD-10
2026-07-03 16:29:00,EMP_013,Building_A,SOC,HID SEOS,Failed,CAM-10,RD-12
2026-07-03 23:52:00,EMP_037,Building_B,Main Entrance,HID SEOS,Failed,CAM-05,RD-01
2026-07-03 01:40:00,EMP_037,Building_C,Emergency Exit,HID SEOS,Success,CAM-13,RD-08
2026-07-03 07:28:00,EMP_039,Building_C,SOC,HID SEOS,Success,CAM-11,RD-05
2026-07-03 21:25:00,EMP_041,Building_C,Main Entrance,HID SEOS,Success,CAM-13,RD-15
2026-07-03 04:29:00,EMP_003,Building_A,Finance Office,HID SEOS,Success,CAM-12,RD-14
2026-07-03 18:24:00,EMP_012,Building_B,Finance Office,HID SEOS,Success,CAM-05,RD-16
2026-07-03 11:33:00,SOC_ANALYST,Building_A,Emergency Exit,HID SEOS,Success,CAM-03,RD-08
2026-07-03 13:33:00,EMP_044,Building_C,HR Office,HID SEOS,Success,CAM-13,RD-13
2026-07-03 04:13:00,EMP_001,Building_B,HR Office,HID SEOS,Success,CAM-10,RD-13
2026-07-03 12:40:00,SERVICE_SQL,Building_A,SOC,HID SEOS,Failed,CAM-01,RD-20
2026-07-03 20:49:00,EMP_036,Building_A,Reception,HID SEOS,Failed,CAM-15,RD-10
2026-07-03 04:46:00,EMP_042,Building_A,Main Entrance,HID SEOS,Success,CAM-08,RD-04
2026-07-03 18:20:00,EMP_007,Building_A,Loading Dock,HID SEOS,Failed,CAM-06,RD-18
2026-07-03 05:16:00,EMP_027,Building_B,Reception,HID SEOS,Failed,CAM-10,RD-14
2026-07-03 12:38:00,EMP_018,Building_A,Emergency Exit,HID SEOS,Failed,CAM-04,RD-12
2026-07-03 12:32:00,EMP_007,Building_C,HR Office,HID SEOS,Success,CAM-07,RD-09
2026-07-03 15:31:00,EMP_013,Building_A,SOC,HID SEOS,Success,CAM-01,RD-11
2026-07-03 19:16:00,EMP_016,Building_A,Reception,HID SEOS,Success,CAM-10,RD-07
2026-07-03 11:12:00,SERVICE_SQL,Building_A,Main Entrance,HID SEOS,Success,CAM-14,RD-05
2026-07-03 05:57:00,EMP_009,Building_A,Main Entrance,HID SEOS,Success,CAM-01,RD-12
2026-07-03 20:05:00,NETWORK_ADMIN,Building_B,Main Entrance,HID SEOS,Success,CAM-05,RD-02
2026-07-03 17:57:00,EMP_009,Building_A,Reception,HID SEOS,Failed,CAM-08,RD-12
2026-07-03 15:25:00,EMP_033,Building_C,SOC,HID SEOS,Success,CAM-12,RD-17
2026-07-03 01:03:00,EMP_020,Building_A,Emergency Exit,HID SEOS,Failed,CAM-07,RD-04
2026-07-03 15:08:00,EMP_032,Building_A,Reception,HID SEOS,Success,CAM-10,RD-05
2026-07-03 21:18:00,EMP_005,Building_C,HR Office,HID SEOS,Failed,CAM-10,RD-17
2026-07-03 20:39:00,EMP_019,Building_B,Reception,HID SEOS,Success,CAM-14,RD-18
2026-07-03 14:40:00,EMP_047,Building_B,SOC,HID SEOS,Failed,CAM-06,RD-15
2026-07-03 03:14:00,EMP_026,Building_B,Loading Dock,HID SEOS,Success,CAM-11,RD-09
2026-07-03 23:26:00,EMP_024,Building_B,Reception,HID SEOS,Success,CAM-14,RD-03
2026-07-03 12:43:00,EMP_006,Building_A,Main Entrance,HID SEOS,Success,CAM-11,RD-04
2026-07-03 22:42:00,EMP_027,Building_B,Main Entrance,HID SEOS,Success,CAM-10,RD-10
2026-07-03 17:19:00,EMP_023,Building_A,Server Room,HID SEOS,Failed,CAM-04,RD-04
2026-07-03 12:32:00,EMP_023,Building_A,Finance Office,HID SEOS,Success,CAM-13,RD-14
2026-07-03 21:13:00,EMP_036,Building_C,Main Entrance,HID SEOS,Success,CAM-01,RD-06
2026-07-03 10:32:00,EMP_018,Building_B,HR Office,HID SEOS,Success,CAM-03,RD-05
2026-07-03 02:22:00,EMP_037,Building_A,Main Entrance,HID SEOS,Success,CAM-12,RD-17
2026-07-03 15:29:00,EMP_014,Building_B,Server Room,HID SEOS,Success,CAM-05,RD-11
2026-07-03 20:21:00,EMP_050,Building_A,Main Entrance,HID SEOS,Success,CAM-03,RD-20
2026-07-03 09:17:00,EMP_004,Building_B,Loading Dock,HID SEOS,Failed,CAM-10,RD-15
2026-07-03 17:29:00,EMP_027,Building_A,HR Office,HID SEOS,Failed,CAM-02,RD-10
2026-07-03 16:36:00,EMP_044,Building_C,Finance Office,HID SEOS,Success,CAM-04,RD-13
2026-07-03 06:58:00,EMP_039,Building_B,SOC,HID SEOS,Success,CAM-13,RD-09
2026-07-03 00:15:00,EMP_019,Building_B,Loading Dock,HID SEOS,Success,CAM-03,RD-13
2026-07-03 17:04:00,EMP_035,Building_C,HR Office,HID SEOS,Success,CAM-07,RD-02
2026-07-03 02:39:00,EMP_028,Building_B,Loading Dock,HID SEOS,Failed,CAM-12,RD-14
2026-07-03 00:42:00,EMP_019,Building_B,Server Room,HID SEOS,Failed,CAM-14,RD-12
2026-07-03 03:36:00,EMP_006,Building_A,Loading Dock,HID SEOS,Failed,CAM-09,RD-03
2026-07-03 11:35:00,EMP_026,Building_A,HR Office,HID SEOS,Success,CAM-02,RD-17
2026-07-03 17:24:00,EMP_041,Building_A,HR Office,HID SEOS,Success,CAM-12,RD-05
2026-07-03 08:44:00,EMP_016,Building_A,Server Room,HID SEOS,Success,CAM-13,RD-03
2026-07-03 21:26:00,EMP_012,Building_B,Emergency Exit,HID SEOS,Failed,CAM-11,RD-19
2026-07-03 21:19:00,EMP_042,Building_B,HR Office,HID SEOS,Success,CAM-08,RD-03
2026-07-03 10:20:00,EMP_031,Building_B,Main Entrance,HID SEOS,Success,CAM-09,RD-03
2026-07-03 01:17:00,EMP_020,Building_A,HR Office,HID SEOS,Success,CAM-02,RD-03
2026-07-03 13:07:00,EMP_040,Building_B,Main Entrance,HID SEOS,Failed,CAM-15,RD-19
2026-07-03 20:39:00,EMP_042,Building_B,Server Room,HID SEOS,Success,CAM-08,RD-04
2026-07-03 11:43:00,SOC_ANALYST,Building_C,Reception,HID SEOS,Success,CAM-01,RD-08
2026-07-03 14:59:00,EMP_046,Building_C,Server Room,HID SEOS,Success,CAM-06,RD-10
2026-07-03 11:32:00,EMP_025,Building_C,Main Entrance,HID SEOS,Success,CAM-02,RD-11
2026-07-03 13:11:00,EMP_007,Building_B,Finance Office,HID SEOS,Success,CAM-06,RD-03
2026-07-03 11:56:00,EMP_038,Building_B,Loading Dock,HID SEOS,Success,CAM-10,RD-03
2026-07-03 21:57:00,EMP_020,Building_B,Server Room,HID SEOS,Success,CAM-11,RD-14
2026-07-03 12:22:00,EMP_033,Building_B,Server Room,HID SEOS,Success,CAM-06,RD-16
2026-07-03 04:41:00,EMP_013,Building_A,Reception,HID SEOS,Success,CAM-14,RD-04
2026-07-03 17:58:00,EMP_033,Building_A,HR Office,HID SEOS,Success,CAM-10,RD-13
2026-07-03 23:38:00,EMP_010,Building_C,Server Room,HID SEOS,Failed,CAM-01,RD-14
2026-07-03 08:06:00,EMP_024,Building_B,Finance Office,HID SEOS,Failed,CAM-04,RD-18
2026-07-03 16:00:00,EMP_016,Building_A,HR Office,HID SEOS,Failed,CAM-08,RD-10
2026-07-03 18:00:00,EMP_050,Building_B,Server Room,HID SEOS,Success,CAM-13,RD-20
2026-07-03 01:46:00,EMP_009,Building_C,Emergency Exit,HID SEOS,Success,CAM-09,RD-04
2026-07-03 04:15:00,EMP_046,Building_B,Reception,HID SEOS,Success,CAM-05,RD-15
2026-07-03 14:55:00,EMP_033,Building_A,SOC,HID SEOS,Failed,CAM-15,RD-12
2026-07-03 13:31:00,EMP_002,Building_C,HR Office,HID SEOS,Success,CAM-07,RD-03
2026-07-03 10:52:00,EMP_024,Building_A,HR Office,HID SEOS,Success,CAM-03,RD-02
2026-07-03 16:07:00,EMP_019,Building_C,Server Room,HID SEOS,Failed,CAM-08,RD-20
2026-07-03 00:38:00,EMP_001,Building_B,SOC,HID SEOS,Success,CAM-09,RD-20
2026-07-03 09:50:00,EMP_034,Building_A,Finance Office,HID SEOS,Success,CAM-01,RD-08
2026-07-03 21:15:00,EMP_027,Building_B,Reception,HID SEOS,Success,CAM-14,RD-16
2026-07-03 21:34:00,EMP_039,Building_C,SOC,HID SEOS,Success,CAM-05,RD-14
2026-07-03 08:12:00,EMP_001,Building_C,Loading Dock,HID SEOS,Success,CAM-11,RD-03
2026-07-03 02:18:00,EMP_034,Building_C,Main Entrance,HID SEOS,Failed,CAM-14,RD-16
2026-07-03 12:44:00,EMP_003,Building_B,Main Entrance,HID SEOS,Success,CAM-13,RD-03
2026-07-03 22:25:00,EMP_023,Building_C,Reception,HID SEOS,Success,CAM-03,RD-02
2026-07-03 21:56:00,EMP_023,Building_A,Emergency Exit,HID SEOS,Failed,CAM-11,RD-06
2026-07-03 15:37:00,SOC_ANALYST,Building_A,Finance Office,HID SEOS,Success,CAM-01,RD-07
2026-07-03 10:35:00,EMP_003,Building_C,Loading Dock,HID SEOS,Failed,CAM-05,RD-02
2026-07-03 09:45:00,EMP_049,Building_B,Main Entrance,HID SEOS,Success,CAM-05,RD-04
2026-07-03 13:39:00,SOC_ANALYST,Building_C,Emergency Exit,HID SEOS,Failed,CAM-06,RD-06
2026-07-03 12:32:00,EMP_032,Building_C,Finance Office,HID SEOS,Success,CAM-12,RD-14
2026-07-03 06:09:00,EMP_006,Building_C,Finance Office,HID SEOS,Success,CAM-02,RD-03
2026-07-03 10:27:00,EMP_021,Building_B,Loading Dock,HID SEOS,Success,CAM-12,RD-15
2026-07-03 12:02:00,EMP_023,Building_C,Loading Dock,HID SEOS,Success,CAM-11,RD-02
2026-07-03 13:51:00,EMP_005,Building_B,Server Room,HID SEOS,Success,CAM-03,RD-20
2026-07-03 01:11:00,EMP_044,Building_A,Reception,HID SEOS,Success,CAM-13,RD-12
2026-07-03 19:21:00,EMP_024,Building_A,Server Room,HID SEOS,Failed,CAM-06,RD-12
2026-07-03 19:35:00,EMP_029,Building_A,HR Office,HID SEOS,Failed,CAM-06,RD-09
2026-07-03 00:53:00,EMP_016,Building_C,Server Room,HID SEOS,Failed,CAM-09,RD-13
2026-07-03 08:53:00,EMP_036,Building_C,Emergency Exit,HID SEOS,Success,CAM-10,RD-10
2026-07-03 16:45:00,EMP_045,Building_A,Reception,HID SEOS,Success,CAM-14,RD-03
2026-07-03 15:11:00,EMP_029,Building_A,HR Office,HID SEOS,Success,CAM-12,RD-03
2026-07-03 10:14:00,EMP_036,Building_A,Server Room,HID SEOS,Success,CAM-09,RD-08
2026-07-03 04:44:00,EMP_008,Building_A,Emergency Exit,HID SEOS,Success,CAM-06,RD-18
2026-07-03 18:49:00,EMP_037,Building_A,Reception,HID SEOS,Success,CAM-05,RD-13
2026-07-03 17:56:00,EMP_046,Building_B,Loading Dock,HID SEOS,Success,CAM-03,RD-11
2026-07-03 15:54:00,EMP_042,Building_C,HR Office,HID SEOS,Success,CAM-15,RD-18
2026-07-03 04:24:00,EMP_041,Building_B,Main Entrance,HID SEOS,Success,CAM-09,RD-05
2026-07-03 11:00:00,EMP_020,Building_C,SOC,HID SEOS,Success,CAM-09,RD-10
2026-07-03 21:40:00,EMP_006,Building_C,Finance Office,HID SEOS,Success,CAM-11,RD-10
2026-07-03 17:09:00,EMP_040,Building_C,Server Room,HID SEOS,Success,CAM-03,RD-20
2026-07-03 11:31:00,EMP_047,Building_C,Main Entrance,HID SEOS,Success,CAM-02,RD-02
2026-07-03 09:02:00,EMP_042,Building_C,SOC,HID SEOS,Failed,CAM-10,RD-01
2026-07-03 18:37:00,EMP_032,Building_B,Finance Office,HID SEOS,Failed,CAM-04,RD-13
2026-07-03 23:30:00,EMP_020,Building_A,Server Room,HID SEOS,Failed,CAM-07,RD-16
2026-07-03 20:42:00,EMP_030,Building_A,HR Office,HID SEOS,Success,CAM-12,RD-12
2026-07-03 12:38:00,EMP_026,Building_C,Reception,HID SEOS,Success,CAM-04,RD-15
2026-07-03 08:27:00,EMP_008,Building_A,Reception,HID SEOS,Success,CAM-05,RD-13
2026-07-03 05:27:00,EMP_040,Building_B,HR Office,HID SEOS,Success,CAM-13,RD-06
2026-07-03 15:56:00,EMP_032,Building_B,Finance Office,HID SEOS,Failed,CAM-01,RD-03
2026-07-03 08:13:00,EMP_026,Building_A,HR Office,HID SEOS,Success,CAM-01,RD-10
2026-07-03 22:19:00,EMP_032,Building_C,Emergency Exit,HID SEOS,Success,CAM-09,RD-01
2026-07-03 09:01:00,EMP_007,Building_C,HR Office,HID SEOS,Failed,CAM-06,RD-02
2026-07-03 19:10:00,EMP_026,Building_A,HR Office,HID SEOS,Success,CAM-02,RD-13
2026-07-03 18:46:00,EMP_033,Building_B,Reception,HID SEOS,Success,CAM-02,RD-13
