Timestamp,User,Action,Account_Status,Privilege,MFA,Risk
2026-07-03 19:58:00,EMP_037,Login,Active,Power User,Disabled,Low
2026-07-03 16:23:00,EMP_045,VPN Login,Active,Administrator,Enabled,Low
2026-07-03 05:28:00,EMP_043,Database Access,Active,User,Enabled,Low
2026-07-03 15:46:00,EMP_020,VPN Login,Active,Power User,Disabled,Low
2026-07-03 20:39:00,EMP_001,VPN Login,Active,Power User,Disabled,Low
2026-07-03 18:41:00,EMP_023,Password Change,Active,Power User,Disabled,Low
2026-07-03 16:27:00,EMP_032,Password Change,Active,Administrator,Disabled,Low
2026-07-03 00:13:00,EMP_016,MFA Challenge,Active,Power User,Disabled,Low
2026-07-03 21:14:00,EMP_018,Login,Active,Power User,Enabled,Low
2026-07-03 21:00:00,EMP_017,VPN Login,Active,User,Disabled,Low
2026-07-03 22:48:00,EMP_018,Login,Active,Administrator,Disabled,Low
2026-07-03 10:06:00,BACKUP_ADMIN,VPN Login,Active,Administrator,Enabled,Low
2026-07-03 17:49:00,EMP_006,MFA Challenge,Active,User,Enabled,Low
2026-07-03 08:06:00,EMP_042,VPN Login,Active,Power User,Disabled,Low
2026-07-03 10:07:00,EMP_050,MFA Challenge,Active,Power User,Enabled,Low
2026-07-03 10:51:00,EMP_048,MFA Challenge,Active,Power User,Disabled,Low
2026-07-03 22:01:00,EMP_024,VPN Login,Active,Power User,Enabled,Low
2026-07-03 05:56:00,SERVICE_SQL,VPN Login,Active,User,Disabled,Low
2026-07-03 16:48:00,EMP_036,MFA Challenge,Active,Power User,Disabled,Low
2026-07-03 05:12:00,EMP_040,Login,Active,Power User,Disabled,Low
2026-07-03 04:54:00,EMP_011,Password Change,Active,Power User,Disabled,Low
2026-07-03 21:11:00,EMP_049,Database Access,Active,Administrator,Disabled,Low
2026-07-03 19:26:00,EMP_021,MFA Challenge,Active,Administrator,Disabled,Low
2026-07-03 05:29:00,EMP_020,VPN Login,Active,Power User,Disabled,Low
2026-07-03 05:26:00,EMP_050,Database Access,Active,User,Enabled,Low
2026-07-03 09:17:00,BACKUP_ADMIN,Database Access,Active,Administrator,Disabled,Low
2026-07-03 07:10:00,EMP_005,MFA Challenge,Active,Administrator,Disabled,Low
2026-07-03 19:34:00,EMP_036,VPN Login,Active,Administrator,Enabled,Low
2026-07-03 21:26:00,EMP_040,Database Access,Active,User,Disabled,Low
2026-07-03 01:37:00,EMP_007,VPN Login,Active,User,Disabled,Low
2026-07-03 22:43:00,EMP_043,Database Access,Active,Administrator,Disabled,Low
2026-07-03 18:37:00,EMP_015,VPN Login,Active,User,Enabled,Low
2026-07-03 19:00:00,EMP_024,Password Change,Active,Power User,Enabled,Low
2026-07-03 20:54:00,EMP_048,VPN Login,Active,Administrator,Disabled,Low
2026-07-03 21:30:00,EMP_050,Database Access,Active,Administrator,Disabled,Low
2026-07-03 22:26:00,EMP_024,VPN Login,Active,Administrator,Enabled,Low
2026-07-03 04:27:00,EMP_008,Password Change,Active,User,Disabled,Low
2026-07-03 23:15:00,NETWORK_ADMIN,Password Change,Active,Power User,Disabled,Low
2026-07-03 19:17:00,EMP_019,Database Access,Active,Administrator,Enabled,Low
2026-07-03 18:00:00,EMP_025,Database Access,Active,Administrator,Enabled,Low
2026-07-03 02:11:00,EMP_049,Login,Active,User,Disabled,Low
2026-07-03 16:13:00,EMP_040,VPN Login,Active,User,Enabled,Low
2026-07-03 16:06:00,EMP_014,Password Change,Active,Administrator,Disabled,Low
2026-07-03 12:34:00,EMP_015,VPN Login,Active,Power User,Enabled,Low
2026-07-03 11:50:00,EMP_021,MFA Challenge,Active,Power User,Enabled,Low
2026-07-03 12:43:00,SERVICE_SQL,VPN Login,Active,Power User,Enabled,Low
2026-07-03 22:54:00,EMP_003,VPN Login,Active,Power User,Enabled,Low
2026-07-03 04:37:00,EMP_043,MFA Challenge,Active,Power User,Enabled,Low
2026-07-03 15:46:00,EMP_041,Database Access,Active,User,Enabled,Low
2026-07-03 03:25:00,EMP_002,VPN Login,Active,User,Enabled,Low
2026-07-03 13:15:00,BACKUP_ADMIN,MFA Challenge,Active,User,Disabled,Low
2026-07-03 11:21:00,EMP_006,MFA Challenge,Active,Power User,Disabled,Low
2026-07-03 02:35:00,EMP_044,Password Change,Active,Administrator,Disabled,Low
2026-07-03 13:56:00,EMP_027,VPN Login,Active,Power User,Disabled,Low
2026-07-03 23:44:00,EMP_010,Login,Active,User,Enabled,Low
2026-07-03 12:46:00,EMP_028,MFA Challenge,Active,Administrator,Disabled,Low
2026-07-03 21:28:00,EMP_029,Login,Active,User,Disabled,Low
2026-07-03 04:19:00,EMP_045,Database Access,Active,User,Disabled,Low
2026-07-03 13:55:00,EMP_045,Login,Active,Power User,Enabled,Low
2026-07-03 23:16:00,EMP_009,Database Access,Active,Power User,Disabled,Low
2026-07-03 07:11:00,EMP_040,Password Change,Active,Power User,Disabled,Low
2026-07-03 16:29:00,EMP_036,MFA Challenge,Active,Power User,Disabled,Low
2026-07-03 16:03:00,EMP_045,Database Access,Active,Power User,Enabled,Low
2026-07-03 01:18:00,EMP_028,Database Access,Active,User,Disabled,Low
2026-07-03 16:22:00,EMP_013,Password Change,Active,Power User,Disabled,Low
2026-07-03 03:16:00,EMP_050,Login,Active,User,Disabled,Low
2026-07-03 12:02:00,EMP_043,Password Change,Active,Power User,Enabled,Low
2026-07-03 07:40:00,EMP_010,Login,Active,Administrator,Enabled,Low
2026-07-03 23:55:00,EMP_025,Password Change,Active,Power User,Disabled,Low
2026-07-03 06:39:00,EMP_035,Database Access,Active,User,Enabled,Low
2026-07-03 13:59:00,EMP_041,Login,Active,Power User,Disabled,Low
2026-07-03 07:30:00,EMP_015,Database Access,Active,Power User,Enabled,Low
2026-07-03 13:17:00,EMP_024,MFA Challenge,Active,Administrator,Disabled,Low
2026-07-03 23:16:00,EMP_046,Login,Active,Power User,Disabled,Low
2026-07-03 08:34:00,EMP_021,VPN Login,Active,Administrator,Enabled,Low
2026-07-03 22:37:00,EMP_008,VPN Login,Active,Administrator,Disabled,Low
2026-07-03 16:51:00,EMP_040,Password Change,Active,Power User,Enabled,Low
2026-07-03 01:16:00,EMP_014,Database Access,Active,Administrator,Disabled,Low
2026-07-03 01:38:00,EMP_007,Database Access,Active,User,Enabled,Low
2026-07-03 20:43:00,EMP_034,VPN Login,Active,User,Enabled,Low
2026-07-03 15:38:00,EMP_036,Login,Active,Administrator,Enabled,Low
2026-07-03 17:07:00,EMP_044,Database Access,Active,Administrator,Enabled,Low
2026-07-03 03:28:00,EMP_023,Password Change,Active,Administrator,Disabled,Low
2026-07-03 04:11:00,EMP_019,Database Access,Active,User,Disabled,Low
2026-07-03 21:59:00,EMP_032,MFA Challenge,Active,User,Disabled,Low
2026-07-03 23:21:00,EMP_049,MFA Challenge,Active,Administrator,Disabled,Low
2026-07-03 21:59:00,EMP_009,Password Change,Active,Administrator,Enabled,Low
2026-07-03 20:53:00,EMP_007,MFA Challenge,Active,Administrator,Enabled,Low
2026-07-03 16:43:00,SOC_ANALYST,VPN Login,Active,Administrator,Disabled,Low
2026-07-03 07:29:00,EMP_025,Password Change,Active,Power User,Enabled,Low
2026-07-03 09:09:00,EMP_022,Database Access,Active,User,Enabled,Low
2026-07-03 06:07:00,EMP_037,VPN Login,Active,Administrator,Disabled,Low
2026-07-03 08:07:00,EMP_031,Login,Active,Power User,Disabled,Low
2026-07-03 22:36:00,EMP_041,MFA Challenge,Active,User,Enabled,Low
2026-07-03 20:37:00,EMP_018,VPN Login,Active,Administrator,Enabled,Low
2026-07-03 05:56:00,SERVICE_SQL,VPN Login,Active,Administrator,Enabled,Low
2026-07-03 17:25:00,EMP_045,MFA Challenge,Active,Power User,Enabled,Low
2026-07-03 06:54:00,EMP_010,Database Access,Active,Power User,Disabled,Low
2026-07-03 20:43:00,EMP_037,Password Change,Active,Power User,Disabled,Low
2026-07-03 19:30:00,EMP_049,Database Access,Active,Administrator,Enabled,Low
2026-07-03 04:36:00,EMP_037,Database Access,Active,Power User,Disabled,Low
2026-07-03 14:13:00,EMP_021,Login,Active,User,Enabled,Low
2026-07-03 18:52:00,SERVICE_SQL,Database Access,Active,Administrator,Disabled,Low
2026-07-03 06:45:00,EMP_007,MFA Challenge,Active,Administrator,Disabled,Low
2026-07-03 03:23:00,EMP_042,VPN Login,Active,User,Disabled,Low
2026-07-03 02:03:00,EMP_011,Login,Active,User,Disabled,Low
2026-07-03 01:28:00,EMP_024,Database Access,Active,Power User,Disabled,Low
2026-07-03 00:49:00,EMP_034,Password Change,Active,Administrator,Disabled,Low
2026-07-03 10:32:00,EMP_048,Password Change,Active,User,Disabled,Low
2026-07-03 00:08:00,EMP_030,VPN Login,Active,Administrator,Enabled,Low
2026-07-03 10:15:00,EMP_017,Login,Active,Administrator,Disabled,Low
2026-07-03 20:31:00,EMP_026,Login,Active,User,Enabled,Low
2026-07-03 03:02:00,EMP_038,Login,Active,Power User,Enabled,Low
2026-07-03 11:23:00,EMP_012,Password Change,Active,User,Enabled,Low
2026-07-03 16:41:00,EMP_019,Database Access,Active,User,Enabled,Low
2026-07-03 15:40:00,EMP_017,Password Change,Active,User,Disabled,Low
2026-07-03 09:05:00,EMP_040,Database Access,Active,Power User,Enabled,Low
2026-07-03 10:54:00,EMP_044,Database Access,Active,Administrator,Disabled,Low
2026-07-03 14:29:00,EMP_014,Database Access,Active,User,Enabled,Low
2026-07-03 12:57:00,EMP_022,MFA Challenge,Active,User,Enabled,Low
2026-07-03 05:58:00,EMP_020,VPN Login,Active,Administrator,Disabled,Low
2026-07-03 12:51:00,EMP_027,Login,Active,Administrator,Disabled,Low
2026-07-03 17:35:00,EMP_009,Login,Active,User,Disabled,Low
2026-07-03 14:03:00,EMP_043,Login,Active,User,Disabled,Low
2026-07-03 23:40:00,SOC_ANALYST,MFA Challenge,Active,Power User,Disabled,Low
2026-07-03 12:48:00,EMP_045,Login,Active,Administrator,Disabled,Low
2026-07-03 13:41:00,EMP_042,MFA Challenge,Active,Administrator,Disabled,Low
2026-07-03 09:46:00,EMP_019,Password Change,Active,Administrator,Enabled,Low
2026-07-03 19:52:00,EMP_023,Database Access,Active,User,Disabled,Low
2026-07-03 15:22:00,EMP_045,MFA Challenge,Active,Power User,Disabled,Low
2026-07-03 02:01:00,EMP_017,MFA Challenge,Active,Administrator,Disabled,Low
2026-07-03 02:59:00,NETWORK_ADMIN,Database Access,Active,Power User,Disabled,Low
2026-07-03 12:38:00,EMP_027,Password Change,Active,Administrator,Enabled,Low
2026-07-03 01:13:00,EMP_043,MFA Challenge,Active,Power User,Disabled,Low
2026-07-03 17:48:00,EMP_033,MFA Challenge,Active,Administrator,Disabled,Low
2026-07-03 03:20:00,EMP_032,Password Change,Active,Administrator,Enabled,Low
2026-07-03 21:25:00,EMP_033,Login,Active,Administrator,Enabled,Low
2026-07-03 18:38:00,EMP_015,Password Change,Active,Administrator,Disabled,Low
2026-07-03 17:12:00,EMP_003,MFA Challenge,Active,Administrator,Disabled,Low
2026-07-03 21:36:00,EMP_026,Login,Active,User,Disabled,Low
2026-07-03 08:16:00,EMP_019,Password Change,Active,User,Enabled,Low
2026-07-03 02:49:00,EMP_046,MFA Challenge,Active,Administrator,Enabled,Low
2026-07-03 13:09:00,EMP_029,Login,Active,Power User,Disabled,Low
2026-07-03 12:08:00,EMP_013,MFA Challenge,Active,User,Disabled,Low
2026-07-03 16:58:00,EMP_029,MFA Challenge,Active,Power User,Disabled,Low
2026-07-03 11:05:00,EMP_041,Password Change,Active,Administrator,Enabled,Low
2026-07-03 19:25:00,EMP_038,Database Access,Active,Power User,Disabled,Low
2026-07-03 13:32:00,EMP_047,MFA Challenge,Active,Administrator,Enabled,Low
2026-07-03 03:25:00,EMP_047,Login,Active,Power User,Disabled,Low
2026-07-03 23:03:00,EMP_040,VPN Login,Active,User,Enabled,Low
2026-07-03 01:48:00,EMP_022,Login,Active,User,Enabled,Low
2026-07-03 21:19:00,EMP_015,Login,Active,Administrator,Disabled,Low
2026-07-03 17:39:00,BACKUP_ADMIN,VPN Login,Active,User,Disabled,Low
2026-07-03 12:33:00,EMP_043,MFA Challenge,Active,User,Disabled,Low
2026-07-03 08:02:00,EMP_029,Login,Active,User,Disabled,Low
2026-07-03 21:36:00,EMP_045,Database Access,Active,Power User,Enabled,Low
2026-07-03 00:17:00,EMP_018,VPN Login,Active,Administrator,Disabled,Low
2026-07-03 22:58:00,EMP_031,Password Change,Active,Power User,Disabled,Low
2026-07-03 21:51:00,EMP_002,VPN Login,Active,Power User,Disabled,Low
2026-07-03 22:39:00,EMP_004,Login,Active,User,Disabled,Low
2026-07-03 03:35:00,EMP_020,Login,Active,Administrator,Enabled,Low
2026-07-03 19:24:00,EMP_019,Login,Active,User,Disabled,Low
2026-07-03 21:46:00,EMP_025,Login,Active,Power User,Disabled,Low
2026-07-03 23:04:00,EMP_012,MFA Challenge,Active,Power User,Enabled,Low
2026-07-03 03:37:00,EMP_001,Password Change,Active,Power User,Disabled,Low
2026-07-03 17:12:00,EMP_015,VPN Login,Active,Power User,Disabled,Low
2026-07-03 16:43:00,EMP_001,Database Access,Active,User,Disabled,Low
2026-07-03 08:41:00,EMP_029,Password Change,Active,User,Disabled,Low
2026-07-03 22:54:00,EMP_019,VPN Login,Active,Administrator,Disabled,Low
2026-07-03 07:51:00,SOC_ANALYST,VPN Login,Active,Power User,Enabled,Low
2026-07-03 23:20:00,EMP_045,Login,Active,Administrator,Enabled,Low
2026-07-03 11:05:00,EMP_024,VPN Login,Active,Power User,Enabled,Low
2026-07-03 16:27:00,EMP_045,Database Access,Active,Power User,Enabled,Low
2026-07-03 03:13:00,EMP_019,Password Change,Active,Power User,Enabled,Low
2026-07-03 09:26:00,EMP_002,MFA Challenge,Active,Power User,Disabled,Low
2026-07-03 04:56:00,EMP_004,Login,Active,User,Disabled,Low
2026-07-03 21:55:00,NETWORK_ADMIN,Database Access,Active,Power User,Disabled,Low
2026-07-03 06:56:00,EMP_048,Login,Active,User,Enabled,Low
2026-07-03 00:26:00,EMP_045,Password Change,Active,Administrator,Enabled,Low
2026-07-03 10:05:00,EMP_022,Login,Active,Administrator,Enabled,Low
2026-07-03 14:59:00,EMP_037,Database Access,Active,User,Disabled,Low
2026-07-03 13:50:00,EMP_042,Login,Active,User,Enabled,Low
2026-07-03 08:32:00,EMP_010,MFA Challenge,Active,Power User,Disabled,Low
2026-07-03 17:50:00,EMP_028,Login,Active,Power User,Enabled,Low
2026-07-03 16:58:00,EMP_002,Database Access,Active,Administrator,Enabled,Low
2026-07-03 15:07:00,EMP_031,Database Access,Active,Power User,Enabled,Low
2026-07-03 15:50:00,EMP_017,Login,Active,Power User,Disabled,Low
2026-07-03 04:46:00,EMP_028,Database Access,Active,User,Disabled,Low
2026-07-03 13:41:00,EMP_033,Password Change,Active,User,Enabled,Low
2026-07-03 16:29:00,EMP_001,VPN Login,Active,Administrator,Enabled,Low
2026-07-03 12:16:00,EMP_030,Login,Active,User,Enabled,Low
2026-07-03 13:36:00,EMP_031,Login,Active,Power User,Disabled,Low
2026-07-03 18:21:00,EMP_034,MFA Challenge,Active,Power User,Disabled,Low
2026-07-03 01:15:00,EMP_009,Login,Active,User,Disabled,Low
2026-07-03 01:31:00,EMP_027,MFA Challenge,Active,User,Disabled,Low
2026-07-03 19:27:00,EMP_014,Database Access,Active,Power User,Disabled,Low
2026-07-03 06:19:00,EMP_007,Login,Active,Administrator,Enabled,Low
2026-07-03 01:31:00,EMP_002,Login,Active,Administrator,Disabled,Low
2026-07-03 17:11:00,EMP_017,Password Change,Active,User,Enabled,Low
2026-07-03 01:10:00,EMP_037,VPN Login,Active,Administrator,Disabled,Low
2026-07-03 04:05:00,SOC_ANALYST,MFA Challenge,Active,Administrator,Disabled,Low
2026-07-03 09:55:00,EMP_050,MFA Challenge,Active,User,Enabled,Low
2026-07-03 02:52:00,EMP_035,Login,Active,User,Disabled,Low
2026-07-03 12:21:00,EMP_050,VPN Login,Active,Administrator,Disabled,Low
2026-07-03 02:28:00,EMP_010,Database Access,Active,User,Disabled,Low
2026-07-03 04:38:00,EMP_021,Database Access,Active,Power User,Enabled,Low
2026-07-03 00:07:00,EMP_039,VPN Login,Active,Administrator,Enabled,Low
2026-07-03 02:51:00,EMP_028,Password Change,Active,Administrator,Enabled,Low
2026-07-03 02:51:00,EMP_027,Database Access,Active,User,Enabled,Low
2026-07-03 15:43:00,EMP_014,Password Change,Active,Administrator,Disabled,Low
2026-07-03 02:28:00,EMP_019,VPN Login,Active,User,Disabled,Low
2026-07-03 00:11:00,EMP_010,Database Access,Active,User,Enabled,Low
2026-07-03 23:26:00,EMP_050,VPN Login,Active,Administrator,Disabled,Low
2026-07-03 12:06:00,EMP_011,MFA Challenge,Active,Administrator,Disabled,Low
2026-07-03 09:47:00,EMP_021,Login,Active,Administrator,Disabled,Low
2026-07-03 11:04:00,EMP_034,VPN Login,Active,Administrator,Enabled,Low
2026-07-03 18:18:00,EMP_018,Database Access,Active,Power User,Disabled,Low
2026-07-03 19:14:00,EMP_025,Password Change,Active,Administrator,Enabled,Low
2026-07-03 17:31:00,EMP_013,Database Access,Active,Administrator,Enabled,Low
2026-07-03 09:24:00,EMP_001,Password Change,Active,Administrator,Disabled,Low
2026-07-03 01:08:00,EMP_016,MFA Challenge,Active,Power User,Enabled,Low
2026-07-03 06:40:00,EMP_031,Password Change,Active,Administrator,Disabled,Low
2026-07-03 20:57:00,BACKUP_ADMIN,Login,Active,Power User,Disabled,Low
2026-07-03 11:45:00,EMP_050,Password Change,Active,User,Enabled,Low
2026-07-03 11:22:00,EMP_040,Password Change,Active,User,Enabled,Low
2026-07-03 03:18:00,EMP_011,Login,Active,Power User,Enabled,Low
2026-07-03 00:12:00,EMP_003,MFA Challenge,Active,User,Enabled,Low
2026-07-03 22:27:00,EMP_032,Login,Active,Power User,Enabled,Low
2026-07-03 06:44:00,BACKUP_ADMIN,Database Access,Active,Administrator,Disabled,Low
2026-07-03 15:58:00,EMP_029,MFA Challenge,Active,Administrator,Enabled,Low
2026-07-03 13:18:00,EMP_003,Login,Active,Administrator,Disabled,Low
2026-07-03 14:54:00,EMP_012,VPN Login,Active,Power User,Disabled,Low
2026-07-03 15:35:00,EMP_005,Login,Active,Administrator,Enabled,Low
2026-07-03 00:05:00,EMP_020,Login,Active,User,Enabled,Low
2026-07-03 10:20:00,EMP_016,Password Change,Active,Power User,Enabled,Low
2026-07-03 05:35:00,EMP_009,Database Access,Active,Administrator,Disabled,Low
2026-07-03 07:52:00,EMP_035,MFA Challenge,Active,Power User,Disabled,Low
2026-07-03 14:13:00,EMP_005,Database Access,Active,Power User,Disabled,Low
2026-07-03 02:49:00,EMP_002,Database Access,Active,Administrator,Enabled,Low
2026-07-03 10:47:00,BACKUP_ADMIN,MFA Challenge,Active,User,Enabled,Low
2026-07-03 22:41:00,EMP_033,VPN Login,Active,User,Disabled,Low
2026-07-03 13:40:00,EMP_020,Login,Active,Power User,Enabled,Low
2026-07-03 09:17:00,EMP_010,VPN Login,Active,Power User,Disabled,Low
2026-07-03 02:46:00,EMP_028,Password Change,Active,User,Enabled,Low
2026-07-03 19:51:00,EMP_004,VPN Login,Active,Power User,Disabled,Low
2026-07-03 01:58:00,EMP_024,VPN Login,Active,Power User,Disabled,Low
2026-07-03 12:18:00,EMP_043,Login,Active,User,Enabled,Low
2026-07-03 02:18:00,EMP_050,MFA Challenge,Active,User,Enabled,Low
2026-07-03 03:37:00,EMP_023,Password Change,Active,User,Disabled,Low
2026-07-03 09:43:00,EMP_039,MFA Challenge,Active,Power User,Disabled,Low
2026-07-03 03:38:00,BACKUP_ADMIN,VPN Login,Active,Power User,Enabled,Low
2026-07-03 00:10:00,EMP_018,MFA Challenge,Active,Power User,Disabled,Low
2026-07-03 17:01:00,EMP_047,VPN Login,Active,Power User,Enabled,Low
2026-07-03 22:27:00,EMP_036,Login,Active,Power User,Disabled,Low
2026-07-03 11:00:00,EMP_016,VPN Login,Active,Power User,Enabled,Low
2026-07-03 13:26:00,EMP_002,Password Change,Active,Administrator,Disabled,Low
2026-07-03 18:04:00,EMP_023,Login,Active,Administrator,Disabled,Low
2026-07-03 22:23:00,EMP_021,Password Change,Active,Administrator,Enabled,Low
2026-07-03 06:20:00,EMP_018,VPN Login,Active,Power User,Enabled,Low
2026-07-03 13:34:00,EMP_029,Database Access,Active,User,Enabled,Low
2026-07-03 02:44:00,EMP_024,Login,Active,Administrator,Disabled,Low
2026-07-03 07:58:00,EMP_033,VPN Login,Active,Power User,Enabled,Low
2026-07-03 16:31:00,EMP_012,VPN Login,Active,Power User,Disabled,Low
2026-07-03 02:58:00,EMP_013,VPN Login,Active,Power User,Enabled,Low
2026-07-03 14:23:00,EMP_010,Login,Active,User,Enabled,Low
2026-07-03 12:11:00,EMP_043,VPN Login,Active,Power User,Disabled,Low
2026-07-03 13:42:00,EMP_023,Login,Active,User,Disabled,Low
2026-07-03 01:02:00,EMP_007,Database Access,Active,User,Enabled,Low
2026-07-03 06:00:00,EMP_004,VPN Login,Active,Power User,Enabled,Low
2026-07-03 16:52:00,EMP_033,Login,Active,Power User,Enabled,Low
2026-07-03 03:52:00,EMP_029,Database Access,Active,User,Enabled,Low
2026-07-03 12:22:00,NETWORK_ADMIN,Login,Active,Administrator,Enabled,Low
2026-07-03 00:16:00,EMP_024,MFA Challenge,Active,Power User,Enabled,Low
2026-07-03 09:24:00,EMP_030,MFA Challenge,Active,User,Disabled,Low
2026-07-03 15:31:00,EMP_002,Password Change,Active,User,Enabled,Low
2026-07-03 22:16:00,EMP_017,MFA Challenge,Active,Administrator,Enabled,Low
2026-07-03 18:34:00,EMP_011,Password Change,Active,Power User,Disabled,Low
2026-07-03 20:01:00,EMP_039,VPN Login,Active,User,Disabled,Low
2026-07-03 00:01:00,EMP_039,Database Access,Active,User,Enabled,Low
2026-07-03 13:17:00,EMP_022,MFA Challenge,Active,Administrator,Enabled,Low
2026-07-03 04:18:00,EMP_032,Login,Active,Power User,Disabled,Low
2026-07-03 18:32:00,EMP_006,MFA Challenge,Active,User,Enabled,Low
2026-07-03 16:03:00,EMP_011,Database Access,Active,User,Disabled,Low
2026-07-03 23:25:00,EMP_050,MFA Challenge,Active,Power User,Enabled,Low
2026-07-03 14:27:00,EMP_027,Login,Active,Power User,Disabled,Low
2026-07-03 14:30:00,EMP_036,Login,Active,User,Disabled,Low
2026-07-03 02:44:00,EMP_040,Login,Active,User,Enabled,Low
2026-07-03 20:44:00,EMP_004,MFA Challenge,Active,Power User,Enabled,Low
2026-07-03 16:04:00,EMP_046,MFA Challenge,Active,User,Disabled,Low
2026-07-03 14:17:00,EMP_037,MFA Challenge,Active,Power User,Enabled,Low
2026-07-03 06:07:00,EMP_001,Login,Active,User,Disabled,Low
2026-07-03 14:53:00,EMP_020,Database Access,Active,User,Enabled,Low
2026-07-03 08:21:00,EMP_026,Database Access,Active,Power User,Disabled,Low
2026-07-03 13:15:00,EMP_016,Login,Active,Administrator,Disabled,Low
2026-07-03 00:38:00,EMP_050,VPN Login,Active,Administrator,Enabled,Low
2026-07-03 22:24:00,EMP_004,VPN Login,Active,Power User,Enabled,Low
2026-07-03 16:54:00,EMP_005,Login,Active,Administrator,Disabled,Low
2026-07-03 18:40:00,EMP_022,VPN Login,Active,User,Enabled,Low
2026-07-03 09:07:00,EMP_027,VPN Login,Active,Power User,Disabled,Low
2026-07-03 18:47:00,EMP_012,Password Change,Active,User,Disabled,Low
2026-07-03 01:44:00,EMP_025,Database Access,Active,User,Disabled,Low
2026-07-03 08:18:00,EMP_043,MFA Challenge,Active,User,Enabled,Low
2026-07-03 04:58:00,EMP_005,Database Access,Active,User,Enabled,Low
2026-07-03 03:53:00,EMP_007,VPN Login,Active,Administrator,Disabled,Low
2026-07-03 09:24:00,EMP_021,Database Access,Active,Power User,Enabled,Low
2026-07-03 12:05:00,EMP_021,VPN Login,Active,Administrator,Enabled,Low
2026-07-03 15:16:00,EMP_015,Password Change,Active,User,Disabled,Low
2026-07-03 01:03:00,EMP_034,Login,Active,Power User,Enabled,Low
2026-07-03 14:33:00,EMP_017,VPN Login,Active,Power User,Enabled,Low
2026-07-03 12:16:00,EMP_033,MFA Challenge,Active,User,Disabled,Low
2026-07-03 12:08:00,EMP_025,MFA Challenge,Active,Power User,Enabled,Low
2026-07-03 18:12:00,EMP_007,VPN Login,Active,Power User,Disabled,Low
2026-07-03 06:55:00,EMP_016,Database Access,Active,User,Enabled,Low
2026-07-03 01:30:00,EMP_023,Database Access,Active,Power User,Disabled,Low
2026-07-03 22:32:00,EMP_036,VPN Login,Active,User,Disabled,Low
2026-07-03 17:00:00,EMP_040,MFA Challenge,Active,Administrator,Enabled,Low
2026-07-03 08:09:00,NETWORK_ADMIN,Database Access,Active,Power User,Disabled,Low
2026-07-03 15:13:00,EMP_022,Password Change,Active,Administrator,Enabled,Low
2026-07-03 00:07:00,EMP_041,VPN Login,Active,Power User,Disabled,Low
2026-07-03 14:32:00,EMP_046,MFA Challenge,Active,User,Enabled,Low
2026-07-03 22:39:00,EMP_032,Password Change,Active,Administrator,Disabled,Low
2026-07-03 15:22:00,EMP_026,Database Access,Active,User,Enabled,Low
2026-07-03 08:50:00,EMP_042,Password Change,Active,Administrator,Disabled,Low
2026-07-03 21:38:00,EMP_009,MFA Challenge,Active,Administrator,Disabled,Low
2026-07-03 16:42:00,EMP_047,Login,Active,Power User,Disabled,Low
