Timestamp,Building,Camera,Zone,Event,Confidence,Person
2026-07-03 02:27:00,Building_B,CAM-06,Finance Office,Door Open,93,EMP_045
2026-07-03 19:22:00,Building_C,CAM-02,Main Entrance,Door Open,100,EMP_025
2026-07-03 02:33:00,Building_A,CAM-11,Server Room,Door Open,80,EMP_041
2026-07-03 23:57:00,Building_B,CAM-15,Finance Office,Employee Walking,93,BACKUP_ADMIN
2026-07-03 18:31:00,Building_C,CAM-04,Reception,Door Open,81,EMP_029
2026-07-03 13:14:00,Building_C,CAM-03,Main Entrance,Person Entering,97,EMP_021
2026-07-03 07:53:00,Building_A,CAM-03,Server Room,Person Entering,89,EMP_041
2026-07-03 15:26:00,Building_A,CAM-07,Loading Dock,Person Entering,90,EMP_024
2026-07-03 00:51:00,Building_B,CAM-05,Main Entrance,Person Entering,89,EMP_026
2026-07-03 12:01:00,Building_A,CAM-11,Server Room,Door Open,90,EMP_031
2026-07-03 21:52:00,Building_C,CAM-08,Finance Office,Door Open,80,EMP_025
2026-07-03 16:52:00,Building_A,CAM-11,Reception,Employee Walking,89,EMP_012
2026-07-03 00:45:00,Building_A,CAM-01,Main Entrance,Person Entering,98,EMP_034
2026-07-03 09:30:00,Building_C,CAM-06,SOC,Person Entering,80,EMP_029
2026-07-03 09:05:00,Building_C,CAM-07,Finance Office,Door Open,91,EMP_045
2026-07-03 18:38:00,Building_B,CAM-08,Main Entrance,Door Open,87,EMP_014
2026-07-03 22:12:00,Building_B,CAM-13,Emergency Exit,Door Open,95,EMP_046
2026-07-03 13:51:00,Building_A,CAM-06,Finance Office,Person Entering,99,EMP_016
2026-07-03 19:31:00,Building_C,CAM-12,Server Room,Employee Walking,87,EMP_011
2026-07-03 07:35:00,Building_B,CAM-02,Finance Office,Person Entering,83,EMP_023
2026-07-03 09:16:00,Building_B,CAM-01,Finance Office,Person Entering,92,EMP_010
2026-07-03 13:50:00,Building_B,CAM-08,HR Office,Person Entering,89,EMP_021
2026-07-03 13:47:00,Building_C,CAM-14,Finance Office,Door Open,82,EMP_019
2026-07-03 11:40:00,Building_B,CAM-05,Reception,Person Entering,97,EMP_032
2026-07-03 03:05:00,Building_B,CAM-11,Reception,Person Entering,82,EMP_022
2026-07-03 03:33:00,Building_B,CAM-07,Main Entrance,Employee Walking,93,EMP_043
2026-07-03 09:05:00,Building_C,CAM-14,Reception,Employee Walking,97,EMP_036
2026-07-03 09:25:00,Building_C,CAM-01,Server Room,Door Open,97,EMP_036
2026-07-03 19:45:00,Building_B,CAM-01,Main Entrance,Employee Walking,80,EMP_037
2026-07-03 09:37:00,Building_C,CAM-02,Finance Office,Door Open,91,EMP_027
2026-07-03 17:36:00,Building_A,CAM-03,Loading Dock,Person Entering,93,EMP_015
2026-07-03 18:02:00,Building_B,CAM-13,Finance Office,Door Open,95,EMP_045
2026-07-03 20:38:00,Building_C,CAM-08,Loading Dock,Person Entering,100,EMP_050
2026-07-03 02:59:00,Building_C,CAM-04,Main Entrance,Person Entering,92,EMP_031
2026-07-03 15:51:00,Building_A,CAM-02,Emergency Exit,Employee Walking,87,BACKUP_ADMIN
2026-07-03 18:40:00,Building_B,CAM-09,HR Office,Door Open,98,EMP_004
2026-07-03 11:33:00,Building_B,CAM-14,SOC,Door Open,99,EMP_035
2026-07-03 13:00:00,Building_A,CAM-14,Finance Office,Door Open,80,EMP_014
2026-07-03 02:44:00,Building_C,CAM-01,Emergency Exit,Door Open,97,BACKUP_ADMIN
2026-07-03 08:45:00,Building_C,CAM-07,Server Room,Employee Walking,100,EMP_013
2026-07-03 07:17:00,Building_C,CAM-10,HR Office,Employee Walking,90,EMP_044
2026-07-03 11:04:00,Building_B,CAM-12,SOC,Person Entering,82,EMP_036
2026-07-03 09:06:00,Building_B,CAM-11,Reception,Person Entering,97,EMP_005
2026-07-03 13:14:00,Building_B,CAM-03,HR Office,Employee Walking,89,EMP_011
2026-07-03 14:13:00,Building_C,CAM-03,HR Office,Door Open,91,EMP_044
2026-07-03 01:07:00,Building_A,CAM-09,Server Room,Person Entering,83,EMP_031
2026-07-03 12:59:00,Building_A,CAM-13,Emergency Exit,Employee Walking,95,EMP_004
2026-07-03 02:01:00,Building_C,CAM-06,Main Entrance,Person Entering,97,EMP_033
2026-07-03 14:34:00,Building_C,CAM-04,HR Office,Person Entering,97,EMP_007
2026-07-03 06:55:00,Building_C,CAM-02,Server Room,Employee Walking,95,EMP_007
2026-07-03 21:53:00,Building_C,CAM-05,HR Office,Door Open,82,EMP_025
2026-07-03 19:53:00,Building_B,CAM-08,Reception,Door Open,95,EMP_002
2026-07-03 00:39:00,Building_C,CAM-04,Reception,Employee Walking,84,EMP_049
2026-07-03 12:47:00,Building_C,CAM-01,Server Room,Person Entering,95,EMP_017
2026-07-03 14:59:00,Building_C,CAM-10,Finance Office,Person Entering,98,EMP_006
2026-07-03 18:38:00,Building_C,CAM-10,Finance Office,Employee Walking,92,EMP_050
2026-07-03 15:43:00,Building_A,CAM-13,SOC,Employee Walking,92,BACKUP_ADMIN
2026-07-03 04:16:00,Building_C,CAM-09,Finance Office,Employee Walking,100,EMP_022
2026-07-03 07:40:00,Building_C,CAM-05,HR Office,Door Open,89,EMP_027
2026-07-03 16:24:00,Building_B,CAM-06,Loading Dock,Employee Walking,85,EMP_008
2026-07-03 15:02:00,Building_C,CAM-07,HR Office,Employee Walking,86,EMP_044
2026-07-03 21:02:00,Building_C,CAM-12,Loading Dock,Employee Walking,97,EMP_010
2026-07-03 04:40:00,Building_C,CAM-15,Reception,Person Entering,80,EMP_005
2026-07-03 07:40:00,Building_B,CAM-11,HR Office,Employee Walking,88,EMP_050
2026-07-03 07:04:00,Building_A,CAM-07,SOC,Door Open,96,EMP_021
2026-07-03 12:25:00,Building_B,CAM-09,HR Office,Employee Walking,85,EMP_016
2026-07-03 02:31:00,Building_C,CAM-14,Emergency Exit,Employee Walking,82,EMP_003
2026-07-03 13:22:00,Building_A,CAM-12,Finance Office,Person Entering,82,BACKUP_ADMIN
2026-07-03 19:41:00,Building_C,CAM-01,Reception,Person Entering,85,EMP_044
2026-07-03 09:35:00,Building_C,CAM-04,Server Room,Person Entering,89,EMP_020
2026-07-03 09:12:00,Building_A,CAM-07,HR Office,Employee Walking,90,EMP_004
2026-07-03 10:38:00,Building_A,CAM-04,Main Entrance,Door Open,89,EMP_013
2026-07-03 04:31:00,Building_A,CAM-08,Emergency Exit,Person Entering,92,EMP_046
2026-07-03 20:04:00,Building_C,CAM-03,Server Room,Person Entering,90,EMP_003
2026-07-03 15:23:00,Building_B,CAM-13,Finance Office,Person Entering,81,EMP_009
2026-07-03 11:36:00,Building_A,CAM-12,SOC,Person Entering,84,SERVICE_SQL
2026-07-03 14:15:00,Building_A,CAM-10,SOC,Person Entering,86,EMP_004
2026-07-03 00:29:00,Building_B,CAM-14,SOC,Door Open,88,EMP_020
2026-07-03 22:40:00,Building_A,CAM-03,Main Entrance,Employee Walking,86,EMP_038
2026-07-03 04:00:00,Building_A,CAM-04,Loading Dock,Employee Walking,90,SOC_ANALYST
2026-07-03 08:01:00,Building_C,CAM-10,Reception,Person Entering,99,NETWORK_ADMIN
2026-07-03 17:57:00,Building_A,CAM-04,Loading Dock,Door Open,100,EMP_020
2026-07-03 21:21:00,Building_C,CAM-08,SOC,Person Entering,92,EMP_004
2026-07-03 21:19:00,Building_A,CAM-01,Emergency Exit,Person Entering,95,EMP_033
2026-07-03 11:44:00,Building_B,CAM-12,Emergency Exit,Door Open,93,EMP_001
2026-07-03 09:34:00,Building_A,CAM-15,SOC,Employee Walking,92,EMP_009
2026-07-03 01:23:00,Building_A,CAM-03,Main Entrance,Door Open,92,EMP_017
2026-07-03 14:04:00,Building_A,CAM-03,HR Office,Door Open,84,EMP_014
2026-07-03 12:20:00,Building_A,CAM-08,SOC,Employee Walking,82,EMP_026
2026-07-03 23:12:00,Building_A,CAM-14,Reception,Person Entering,87,EMP_006
2026-07-03 17:20:00,Building_B,CAM-10,Server Room,Employee Walking,91,EMP_034
2026-07-03 09:22:00,Building_B,CAM-06,HR Office,Employee Walking,90,EMP_005
2026-07-03 03:46:00,Building_C,CAM-07,Server Room,Person Entering,93,EMP_039
2026-07-03 12:47:00,Building_C,CAM-07,Loading Dock,Employee Walking,90,EMP_013
2026-07-03 04:28:00,Building_A,CAM-04,Loading Dock,Door Open,89,EMP_016
2026-07-03 13:12:00,Building_C,CAM-15,SOC,Employee Walking,100,EMP_020
2026-07-03 03:42:00,Building_C,CAM-09,Emergency Exit,Door Open,97,EMP_050
2026-07-03 05:04:00,Building_A,CAM-02,Loading Dock,Door Open,81,EMP_047
2026-07-03 10:58:00,Building_A,CAM-08,Emergency Exit,Person Entering,85,EMP_050
2026-07-03 13:13:00,Building_B,CAM-10,SOC,Employee Walking,92,EMP_047
2026-07-03 04:08:00,Building_C,CAM-12,Loading Dock,Employee Walking,82,EMP_024
2026-07-03 18:17:00,Building_B,CAM-09,Reception,Door Open,97,EMP_022
2026-07-03 02:17:00,Building_A,CAM-14,SOC,Door Open,87,EMP_031
2026-07-03 00:36:00,Building_A,CAM-09,Finance Office,Door Open,85,EMP_050
2026-07-03 13:39:00,Building_B,CAM-06,SOC,Person Entering,85,EMP_048
2026-07-03 02:16:00,Building_C,CAM-03,Emergency Exit,Employee Walking,96,EMP_044
2026-07-03 14:08:00,Building_A,CAM-15,SOC,Employee Walking,98,EMP_010
2026-07-03 04:26:00,Building_C,CAM-12,SOC,Employee Walking,89,EMP_035
2026-07-03 22:21:00,Building_B,CAM-10,HR Office,Door Open,92,BACKUP_ADMIN
2026-07-03 20:08:00,Building_A,CAM-06,Reception,Employee Walking,80,EMP_028
2026-07-03 21:05:00,Building_A,CAM-05,Main Entrance,Door Open,88,EMP_026
2026-07-03 15:35:00,Building_B,CAM-03,SOC,Door Open,84,EMP_036
2026-07-03 05:26:00,Building_A,CAM-11,Finance Office,Employee Walking,81,EMP_021
2026-07-03 23:55:00,Building_A,CAM-09,Finance Office,Door Open,97,EMP_022
2026-07-03 22:06:00,Building_A,CAM-14,Server Room,Person Entering,85,EMP_011
2026-07-03 15:07:00,Building_B,CAM-08,Finance Office,Person Entering,96,EMP_040
2026-07-03 21:08:00,Building_B,CAM-02,Main Entrance,Employee Walking,95,EMP_037
2026-07-03 02:16:00,Building_C,CAM-03,Server Room,Person Entering,96,EMP_013
2026-07-03 09:13:00,Building_A,CAM-09,Server Room,Person Entering,90,EMP_004
2026-07-03 21:10:00,Building_B,CAM-11,Loading Dock,Door Open,98,EMP_036
2026-07-03 17:24:00,Building_B,CAM-04,Loading Dock,Door Open,91,SERVICE_SQL
2026-07-03 23:31:00,Building_A,CAM-10,Loading Dock,Person Entering,96,EMP_040
2026-07-03 02:17:00,Building_C,CAM-11,Server Room,Door Open,99,EMP_036
2026-07-03 00:35:00,Building_C,CAM-13,Main Entrance,Employee Walking,81,EMP_038
2026-07-03 18:14:00,Building_B,CAM-10,Main Entrance,Person Entering,91,EMP_040
2026-07-03 18:49:00,Building_C,CAM-06,Server Room,Employee Walking,99,EMP_005
2026-07-03 13:23:00,Building_C,CAM-06,Main Entrance,Door Open,88,EMP_044
2026-07-03 15:14:00,Building_C,CAM-06,Server Room,Person Entering,95,EMP_013
2026-07-03 09:06:00,Building_A,CAM-01,Reception,Door Open,89,EMP_018
2026-07-03 17:16:00,Building_B,CAM-06,Main Entrance,Person Entering,92,EMP_044
2026-07-03 09:17:00,Building_A,CAM-13,Finance Office,Door Open,90,EMP_044
2026-07-03 13:25:00,Building_A,CAM-06,SOC,Door Open,88,EMP_041
2026-07-03 04:50:00,Building_A,CAM-01,Reception,Employee Walking,96,EMP_037
2026-07-03 04:22:00,Building_B,CAM-11,Finance Office,Employee Walking,91,EMP_015
2026-07-03 18:10:00,Building_C,CAM-12,HR Office,Employee Walking,100,EMP_022
2026-07-03 07:29:00,Building_B,CAM-09,SOC,Door Open,92,EMP_039
2026-07-03 21:38:00,Building_C,CAM-08,Loading Dock,Door Open,86,EMP_008
2026-07-03 14:36:00,Building_C,CAM-07,Server Room,Door Open,92,EMP_040
2026-07-03 10:00:00,Building_B,CAM-06,Reception,Door Open,80,EMP_004
2026-07-03 10:59:00,Building_B,CAM-14,Main Entrance,Door Open,87,EMP_019
2026-07-03 20:50:00,Building_C,CAM-11,Emergency Exit,Employee Walking,100,SERVICE_SQL
2026-07-03 00:11:00,Building_A,CAM-14,Main Entrance,Door Open,100,EMP_049
2026-07-03 16:13:00,Building_A,CAM-12,SOC,Person Entering,99,EMP_034
2026-07-03 16:03:00,Building_C,CAM-10,SOC,Door Open,100,EMP_036
2026-07-03 19:31:00,Building_A,CAM-02,Server Room,Employee Walking,88,EMP_048
2026-07-03 17:17:00,Building_B,CAM-10,Finance Office,Employee Walking,89,EMP_049
2026-07-03 09:19:00,Building_B,CAM-14,Finance Office,Person Entering,81,EMP_026
2026-07-03 16:36:00,Building_C,CAM-06,Loading Dock,Person Entering,91,EMP_007
2026-07-03 06:59:00,Building_C,CAM-06,Main Entrance,Person Entering,93,EMP_046
2026-07-03 15:11:00,Building_B,CAM-08,HR Office,Person Entering,84,EMP_032
2026-07-03 10:30:00,Building_B,CAM-11,SOC,Person Entering,92,EMP_037
2026-07-03 11:29:00,Building_C,CAM-01,Finance Office,Employee Walking,93,EMP_009
2026-07-03 11:59:00,Building_B,CAM-03,Server Room,Employee Walking,88,EMP_009
2026-07-03 02:43:00,Building_B,CAM-08,Loading Dock,Door Open,82,EMP_048
2026-07-03 00:00:00,Building_B,CAM-02,HR Office,Employee Walking,87,EMP_034
2026-07-03 12:58:00,Building_C,CAM-10,HR Office,Person Entering,89,EMP_031
2026-07-03 11:26:00,Building_A,CAM-09,SOC,Person Entering,90,EMP_040
2026-07-03 14:35:00,Building_B,CAM-09,Main Entrance,Person Entering,81,EMP_017
2026-07-03 20:13:00,Building_C,CAM-07,Finance Office,Employee Walking,100,EMP_024
2026-07-03 04:08:00,Building_C,CAM-09,Loading Dock,Employee Walking,88,EMP_015
2026-07-03 14:50:00,Building_C,CAM-04,Emergency Exit,Door Open,97,EMP_018
2026-07-03 03:38:00,Building_A,CAM-08,Emergency Exit,Employee Walking,98,EMP_001
2026-07-03 15:35:00,Building_C,CAM-12,Loading Dock,Employee Walking,81,NETWORK_ADMIN
2026-07-03 00:54:00,Building_C,CAM-02,Main Entrance,Employee Walking,98,EMP_041
2026-07-03 23:30:00,Building_C,CAM-02,Finance Office,Person Entering,95,EMP_046
2026-07-03 11:01:00,Building_C,CAM-08,Finance Office,Employee Walking,89,EMP_020
2026-07-03 20:09:00,Building_B,CAM-02,Reception,Person Entering,87,EMP_037
2026-07-03 08:13:00,Building_B,CAM-04,Main Entrance,Person Entering,87,EMP_050
2026-07-03 09:42:00,Building_C,CAM-11,Emergency Exit,Person Entering,97,EMP_049
2026-07-03 20:58:00,Building_C,CAM-09,Main Entrance,Person Entering,94,EMP_048
2026-07-03 16:28:00,Building_A,CAM-01,Finance Office,Person Entering,81,EMP_025
2026-07-03 02:33:00,Building_C,CAM-10,HR Office,Door Open,83,BACKUP_ADMIN
2026-07-03 21:19:00,Building_B,CAM-02,Main Entrance,Employee Walking,97,EMP_020
2026-07-03 10:02:00,Building_A,CAM-08,Emergency Exit,Person Entering,88,EMP_023
2026-07-03 03:41:00,Building_C,CAM-09,Finance Office,Door Open,95,EMP_027
2026-07-03 10:23:00,Building_A,CAM-14,Server Room,Person Entering,89,EMP_036
2026-07-03 02:36:00,Building_C,CAM-05,SOC,Door Open,99,EMP_036
2026-07-03 21:25:00,Building_A,CAM-05,Emergency Exit,Employee Walking,92,EMP_021
2026-07-03 06:48:00,Building_B,CAM-12,SOC,Person Entering,82,EMP_001
2026-07-03 13:06:00,Building_A,CAM-14,Reception,Person Entering,80,EMP_040
2026-07-03 03:42:00,Building_B,CAM-01,Loading Dock,Employee Walking,91,EMP_044
2026-07-03 00:37:00,Building_A,CAM-08,Server Room,Person Entering,93,BACKUP_ADMIN
2026-07-03 23:10:00,Building_A,CAM-04,Loading Dock,Employee Walking,85,EMP_013
2026-07-03 14:26:00,Building_C,CAM-05,HR Office,Person Entering,85,EMP_044
2026-07-03 09:55:00,Building_A,CAM-07,Server Room,Door Open,100,EMP_044
2026-07-03 11:06:00,Building_A,CAM-05,HR Office,Door Open,92,EMP_050
2026-07-03 07:12:00,Building_A,CAM-02,Finance Office,Employee Walking,100,EMP_039
2026-07-03 09:23:00,Building_A,CAM-01,Finance Office,Employee Walking,94,EMP_026
2026-07-03 09:04:00,Building_C,CAM-10,HR Office,Door Open,93,EMP_029
2026-07-03 11:40:00,Building_A,CAM-07,Finance Office,Door Open,80,EMP_048
2026-07-03 06:17:00,Building_B,CAM-07,Main Entrance,Employee Walking,96,EMP_038
2026-07-03 07:01:00,Building_B,CAM-02,Emergency Exit,Person Entering,93,EMP_023
2026-07-03 12:54:00,Building_C,CAM-12,Emergency Exit,Door Open,93,EMP_028
2026-07-03 11:08:00,Building_A,CAM-15,HR Office,Person Entering,87,EMP_024
2026-07-03 12:05:00,Building_C,CAM-04,Loading Dock,Employee Walking,87,NETWORK_ADMIN
2026-07-03 11:24:00,Building_C,CAM-11,Main Entrance,Person Entering,99,EMP_026
2026-07-03 14:39:00,Building_A,CAM-09,Reception,Door Open,97,EMP_005
2026-07-03 10:34:00,Building_C,CAM-15,SOC,Door Open,93,EMP_032
2026-07-03 01:54:00,Building_A,CAM-08,SOC,Person Entering,84,EMP_034
2026-07-03 18:52:00,Building_B,CAM-06,SOC,Employee Walking,81,EMP_036
2026-07-03 10:09:00,Building_C,CAM-03,Reception,Employee Walking,97,EMP_033
2026-07-03 18:34:00,Building_A,CAM-02,SOC,Employee Walking,85,EMP_038
2026-07-03 17:41:00,Building_A,CAM-14,SOC,Door Open,83,EMP_036
2026-07-03 09:53:00,Building_A,CAM-09,SOC,Door Open,86,EMP_017
2026-07-03 19:20:00,Building_C,CAM-15,Finance Office,Person Entering,91,EMP_036
2026-07-03 13:03:00,Building_C,CAM-03,Reception,Employee Walking,94,EMP_032
2026-07-03 21:38:00,Building_C,CAM-06,Main Entrance,Door Open,89,EMP_033
2026-07-03 07:38:00,Building_C,CAM-04,Server Room,Person Entering,82,EMP_012
2026-07-03 03:43:00,Building_A,CAM-08,Finance Office,Door Open,91,EMP_042
2026-07-03 01:56:00,Building_A,CAM-14,Reception,Door Open,92,EMP_017
2026-07-03 06:57:00,Building_C,CAM-11,Emergency Exit,Employee Walking,80,EMP_033
2026-07-03 04:20:00,Building_A,CAM-04,Emergency Exit,Person Entering,97,EMP_050
2026-07-03 04:11:00,Building_C,CAM-03,Emergency Exit,Person Entering,91,EMP_034
2026-07-03 09:41:00,Building_C,CAM-01,Reception,Employee Walking,86,EMP_018
2026-07-03 03:45:00,Building_C,CAM-13,HR Office,Person Entering,99,EMP_004
2026-07-03 01:30:00,Building_C,CAM-07,Loading Dock,Employee Walking,80,BACKUP_ADMIN
2026-07-03 17:54:00,Building_B,CAM-10,Server Room,Employee Walking,93,EMP_030
2026-07-03 10:56:00,Building_C,CAM-11,SOC,Person Entering,89,EMP_040
2026-07-03 15:57:00,Building_A,CAM-02,Loading Dock,Person Entering,90,EMP_048
2026-07-03 10:01:00,Building_B,CAM-01,Main Entrance,Door Open,91,EMP_032
2026-07-03 03:35:00,Building_A,CAM-08,Loading Dock,Door Open,82,EMP_033
2026-07-03 10:50:00,Building_C,CAM-06,HR Office,Person Entering,82,EMP_048
2026-07-03 22:29:00,Building_A,CAM-02,Loading Dock,Door Open,100,EMP_038
2026-07-03 17:20:00,Building_C,CAM-07,Server Room,Door Open,100,EMP_031
2026-07-03 19:07:00,Building_C,CAM-01,Server Room,Person Entering,91,EMP_025
2026-07-03 03:05:00,Building_C,CAM-01,Server Room,Person Entering,91,EMP_037
2026-07-03 08:21:00,Building_B,CAM-05,Server Room,Door Open,86,EMP_027
2026-07-03 20:37:00,Building_A,CAM-01,Finance Office,Door Open,92,EMP_016
2026-07-03 19:56:00,Building_B,CAM-05,Loading Dock,Employee Walking,87,EMP_049
2026-07-03 06:00:00,Building_A,CAM-12,HR Office,Door Open,83,EMP_046
2026-07-03 10:26:00,Building_C,CAM-03,Reception,Person Entering,84,EMP_045
2026-07-03 14:28:00,Building_B,CAM-07,HR Office,Person Entering,95,EMP_003
2026-07-03 23:35:00,Building_A,CAM-12,Finance Office,Door Open,88,EMP_004
2026-07-03 14:30:00,Building_A,CAM-14,Server Room,Employee Walking,88,EMP_011
2026-07-03 10:29:00,Building_C,CAM-05,Reception,Employee Walking,96,EMP_040
2026-07-03 18:29:00,Building_A,CAM-01,Main Entrance,Employee Walking,98,EMP_024
2026-07-03 04:02:00,Building_C,CAM-11,Finance Office,Employee Walking,81,EMP_018
2026-07-03 00:22:00,Building_C,CAM-01,Server Room,Employee Walking,83,EMP_014
2026-07-03 04:24:00,Building_A,CAM-13,Finance Office,Door Open,84,EMP_025
2026-07-03 02:43:00,Building_B,CAM-05,Emergency Exit,Door Open,98,EMP_014
2026-07-03 03:58:00,Building_B,CAM-10,Emergency Exit,Door Open,98,EMP_018
2026-07-03 14:04:00,Building_B,CAM-13,Main Entrance,Employee Walking,97,EMP_010
2026-07-03 16:40:00,Building_C,CAM-14,SOC,Person Entering,87,EMP_036
2026-07-03 15:43:00,Building_C,CAM-02,HR Office,Employee Walking,89,EMP_044
2026-07-03 22:49:00,Building_A,CAM-02,Finance Office,Person Entering,86,EMP_046
2026-07-03 22:15:00,Building_A,CAM-03,Server Room,Door Open,83,EMP_014
2026-07-03 03:15:00,Building_B,CAM-03,Reception,Employee Walking,94,EMP_002
2026-07-03 14:41:00,Building_A,CAM-14,HR Office,Door Open,80,EMP_015
2026-07-03 05:41:00,Building_C,CAM-07,Finance Office,Employee Walking,82,EMP_044
2026-07-03 00:36:00,Building_C,CAM-05,Reception,Employee Walking,92,EMP_031
2026-07-03 01:02:00,Building_C,CAM-11,SOC,Door Open,94,EMP_026
2026-07-03 05:16:00,Building_C,CAM-07,Finance Office,Door Open,81,EMP_033
2026-07-03 02:11:00,Building_A,CAM-09,Finance Office,Person Entering,90,SERVICE_SQL
2026-07-03 00:13:00,Building_A,CAM-05,Finance Office,Employee Walking,82,EMP_017
2026-07-03 03:28:00,Building_B,CAM-05,Emergency Exit,Person Entering,96,EMP_012
2026-07-03 08:45:00,Building_C,CAM-14,SOC,Person Entering,84,EMP_016
2026-07-03 02:14:00,Building_A,CAM-10,Server Room,Person Entering,89,EMP_043
2026-07-03 13:17:00,Building_A,CAM-05,Main Entrance,Employee Walking,93,EMP_001
2026-07-03 17:03:00,Building_A,CAM-05,Loading Dock,Person Entering,92,EMP_022
2026-07-03 17:46:00,Building_A,CAM-15,Loading Dock,Door Open,90,EMP_049
2026-07-03 22:17:00,Building_C,CAM-09,SOC,Door Open,99,EMP_023
